Property_ID,Property Type,Bedrooms,Bathrooms,Area,Price,Location,District,Agency_Name
B081401018,فیلا,8,5,450,5400000,شمال,النرجس,شركة إثراء الأولى العقارية
Z104757533,فیلا,5,4,200,1300000,شرق,الجنادرية,شركة قمة الوطن العقارية
I514829571,شقة,3,3,3150,1365000,شمال,العارض,شركة رفاه العقارية
N703783545,فیلا,5,3,289,1470000,شرق,الجنادرية,شركة قمة الوطن العقارية
M205981905,شقة,3,2,150,1300000,شمال,الملقا,مكتب شريط للعقارات
E434840747,دور,3,1,187,1100000,شرق,الرمال,شركة إثراء الأولى العقارية
O493406065,استراحة,3,3,341,6000000,شرق,الرمال,مكتب تميز البلاد للخدمات العقارية
Y631740910,شقة,3,3,182,1900000,شمال,حطين,مكتب آعالي للخدمات العقارية
K600054376,شقة,4,5,216,1373000,شمال,العارض,مؤسسة وسام المساكن العقارية
N062087818,دور,3,4,140,949000,شرق,الرمال,شركة ترف للتطوير والاستثمار العقاري
D104698284,شقة,4,3,177,450000,جنوب,بدر,شركة نجمة التميز للعقارات
S904625500,دور,3,3,500,950000,غرب,شبرا,شركة نجمة التميز للعقارات
X564268706,شقة,5,3,128,550000,غرب,الزهرة,شركة نجمة التميز للعقارات
N958226528,دور,4,3,500,860000,غرب,شبرا,شركة نجمة التميز للعقارات
U934146095,دور,4,4,500,860000,غرب,شبرا,شركة نجمة التميز للعقارات
O424839322,دور,4,4,214,1430000,شمال,العارض,مؤسسة منازل النرجس للتطوير العقاري
E940246066,دور,4,3,500,860000,غرب,شبرا,شركة نجمة التميز للعقارات
E739553712,شقة,5,4,171,650000,غرب,طويق,مكتب عبدالرحمن عبدالله الهويمل للعقارات
R135067827,شقة,4,3,147,1300000,شمال,الملقا,شركة العمار العقارية
Z952751472,دور,3,3,500,800000,غرب,شبرا,شركة نجمة التميز للعقارات
C013290657,دور,3,3,214,760000,جنوب,بدر,شركة نجمة التميز للعقارات
K018925967,دور,4,4,214,760000,جنوب,بدر,شركة نجمة التميز للعقارات
C744104276,شقة,3,3,131,420000,جنوب,الدار البيضاء,شركة نجمة التميز للعقارات
U958414783,شقة,4,3,190,1250000,شمال,النرجس,شركة رايات نجد للتطوير العقاري
